studyName,DatetimeGMT,JulianDay,Event,GridLine,GridStation,RoundedGridLine,RoundedGridStation,GridRegion,NorthSouthRegion,InshoreOffshoreRegion,Latitude,Longitude,BottleNumber,Depth,Temperature,Salinity,Density,BeamTransmission,Oxygen,OxygenSaturation,PAR,Fluorescence,Chlorophyll,Phaeopigment,FilterCode,Chlorophyllc3,Chlorophyllide,Chlorophyllc2,Peridinin,Phaeophorbide,x19butanoyloxyfucoxanthin,Fucoxanthin,Neoxanthin,Prasinoxanthin,x19hexanoyloxyfucoxanthin,Violaxanthin,Diadinoxanthin,Antheraxanthin,Alloxanthin,Diatoxanthin,Zeaxanthin,Lutein,Crocoxanthin,Chlorophyllb,Echinenone,DivinylChlorophylla,Chlorophylla,Lycopene,Phaeophytin,AlphaCarotene,BetaCarotene,Prasinophytes,Cryptophytes,MixedFlagellates,Diatoms,Haptophytes,PercentIrradiance,PrimaryProduction,PrimProdSTD,FIREGain,FIREFvOverFm,FIRESigma,FIRERho,BacterialAbundance,ThymidineIncorporation,LeucineIncorporation,HNA,LNA,DOC,POC,N,PO4,SiO4,NO2,NO3,NH4,NO3plusNO2,O2mlperl,O2umolperl,DIC1,DIC2,Alkalinity1,Alkalinity2,DICTemperature,DICSalinity,Notes1,Notes2
LMG18-01,1/5/2018 23:18,5,8,616,40,600,40,NC,N,C,-64.82116,-64.02944,3,350,1.0301,34.5999,27.7218,94.2234,4.421,NaN,1.00E-12,-0.2018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.18,48.5,NaN,NaN,NaN,31.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMG18-01,1/5/2018 23:18,5,8,616,40,600,40,NC,N,C,-64.82116,-64.02944,1,429,1.1226,34.622,27.7333,94.5386,4.3063,NaN,1.00E-12,-0.2031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.24,54.25,NaN,NaN,NaN,31.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMG18-01,1/6/2018 8:06,6,14,587,43,600,40,NC,N,C,-64.9943,-64.61797,24,0,1.4783,33.6499,26.9281,69.4487,8.283,NaN,59.902,1.4016,0.896647231,0.196045512,5,0.086532917,0.507766767,0.520350339,0.028672286,NaN,0.076477165,0.395458742,0,0,0.195020553,0,0.407886644,0,2.131768995,0.07686868,0,0.026204957,NaN,0.045494362,NaN,-0.326373478,3.012827486,NaN,0,0.076411793,0.047756478,0,0.979030788,0,0,0.020969205,100,13.38614361,4.207873412,1000,0.389,170,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.43,46.89,NaN,NaN,NaN,19.13,NaN,NaN,2124.3092,NaN,2288.909622,2289.343532,1.4783,33.65,P1.2,NaN
LMG18-01,1/6/2018 8:06,6,14,587,43,600,40,NC,N,C,-64.9943,-64.61797,22,10,1.3797,33.6427,26.9291,79.5467,8.2313,NaN,10.301,1.0852,0.361675009,0.102530416,5,0.128300485,0.171455758,0.297465023,0.0165213,NaN,0.074069042,0.637503498,0,0,0.240040565,0,0.317393124,0,0.702291746,0.045248189,0,0.021596176,NaN,0,NaN,-0.232557062,2.093490799,NaN,0,0.03212124,0.040441093,0,0.725516856,0.161718473,0.043978155,0.068786517,50,4.341255945,1.084649173,1600,0.425,190,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.51,52.9,NaN,NaN,NaN,20.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.2,NaN
LMG18-01,1/6/2018 8:06,6,14,587,43,600,40,NC,N,C,-64.9943,-64.61797,20,20,0.4995,33.6718,27.0074,89.4008,8.0264,NaN,2.7548,0.5727,0.335281414,0.118349646,5,0.162885667,0.031592648,0.171172774,0,NaN,0.07280584,0.912072228,0,0,0.195850995,0.015572947,0.197904577,0,0.027455073,0.016122554,0,0,NaN,0.07860266,NaN,-0.021116004,1.412306352,NaN,0,0.010442925,0.042619072,0.041997209,0.027000533,0.266055107,0.59530592,0.0696413,25,1.03449511,0.228093801,2000,0.502,244,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.59,45.5,NaN,NaN,NaN,20.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.2,NaN
LMG18-01,1/6/2018 8:06,6,14,587,43,600,40,NC,N,C,-64.9943,-64.61797,18,30,0.1138,33.7588,27.0985,93.1932,7.7017,NaN,1.5093,0.195,0.199941901,0.078286152,5,0.086153379,0.014166794,0.075341946,0,NaN,0.03106777,0.462998055,0,0,0.076745484,0.01039532,0.062724551,0,0.024549464,0,0,0,NaN,0.034476816,NaN,0.053410874,0.716085812,NaN,0,0,0.011391145,0.03654046,0.052764263,0.226424202,0.632239759,0.052031331,1,1.009144791,0.972340106,2400,0.516,236,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.69,48.99,NaN,NaN,NaN,23.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.2,NaN
LMG18-01,1/6/2018 8:06,6,14,587,43,600,40,NC,N,C,-64.9943,-64.61797,16,50,-0.3266,34.0142,27.3263,95.6617,6.8074,NaN,0.38435,-0.1037,0.045443434,0.038748453,5,0.025905553,0,0.01959937,0,NaN,0.015580759,0.119093,0,0,0.024273472,0,0.015534012,0,0.013449092,0,0,0,NaN,0.021703086,NaN,0.001882096,0.190358679,NaN,0,0,0,0.086571045,0.108432673,0.444945782,0.317972094,0.042078324,0.1,0.688920226,0.426143039,2400,0.488,274,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.95,52.96,NaN,NaN,NaN,26.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.2,NaN
LMG18-01,1/6/2018 8:06,6,14,587,43,600,40,NC,N,C,-64.9943,-64.61797,14,60,-0.3607,34.1305,27.4219,96.0594,5.9905,NaN,0.19232,-0.1399,0.021834509,0.026948214,5,0.014036101,0,0.01087261,0,NaN,0.011533236,0.069007123,0,0,0.017208974,0,0.00821055,0,0,0,0,0,NaN,0.019582117,NaN,-0.002105432,0.117818272,NaN,0,0,0,0.132548317,0,0.563470364,0.256454051,0.047527339,NaN,NaN,NaN,2400,0.487,335,0.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.13,56.73,NaN,NaN,NaN,30.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.2,NaN
LMG18-01,1/6/2018 8:06,6,14,587,43,600,40,NC,N,C,-64.9943,-64.61797,12,100,0.3682,34.4038,27.6048,96.1631,4.8968,NaN,1.00E-12,-0.1802,NaN,NaN,5,0.005311956,0,0.002969351,0,NaN,0.006587774,0.022069333,0,0,0.010890645,0,0,0,0,0,0,0,NaN,0,NaN,-0.003720207,0.035336686,NaN,0,0,0,0,0,0.875737607,0,0.124262363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.25,52.6,NaN,NaN,NaN,31.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.2,NaN
LMG18-01,1/6/2018 8:06,6,14,587,43,600,40,NC,N,C,-64.9943,-64.61797,9,150,0.5735,34.4663,27.6431,96.0605,4.7015,NaN,1.00E-12,-0.1983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.24,57.5,NaN,NaN,NaN,31.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMG18-01,1/6/2018 8:06,6,14,587,43,600,40,NC,N,C,-64.9943,-64.61797,7,200,0.6882,34.5027,27.6655,95.9699,4.7143,NaN,1.00E-12,-0.2015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.24,56.12,NaN,NaN,NaN,31.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMG18-01,1/6/2018 8:06,6,14,587,43,600,40,NC,N,C,-64.9943,-64.61797,5,300,1.0676,34.6082,27.7259,95.9073,4.3294,NaN,1.00E-12,-0.2035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.24,60.05,NaN,NaN,NaN,31.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMG18-01,1/6/2018 8:06,6,14,587,43,600,40,NC,N,C,-64.9943,-64.61797,3,400,1.2536,34.655,27.7509,95.9402,4.1428,NaN,1.00E-12,-0.2031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.25,56.38,NaN,NaN,NaN,31.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMG18-01,1/6/2018 8:06,6,14,587,43,600,40,NC,N,C,-64.9943,-64.61797,1,480,1.3191,34.6703,27.7586,95.9267,4.0825,NaN,1.00E-12,-0.2038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.25,61.26,NaN,NaN,NaN,31.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMG18-01,1/6/2018 22:07,6,28,599,49,600,40,NC,N,C,-64.88761,-64.55461,24,0,2.0053,33.6502,26.8898,75.4543,8.3489,NaN,140.09,1.0123,0.998706004,0.194480841,5,0.016165085,0.680494369,0.597379745,0.038822712,NaN,0.027252249,0,0.446094802,0,0,0.129037133,0,0,0,0,0.047929163,0.024014085,NaN,0.30262102,NaN,-0.407541501,3.549511298,NaN,0,0,0.131175166,0.104232892,0.128204033,0.101240993,0.666322112,0,100,12.6728459,2.83034905,1000,0.297,178,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.49,56.13,NaN,NaN,NaN,18.38,NaN,NaN,2123.98605,NaN,2298.519958,2294.577581,2.005,33.65,P1.3,NaN
LMG18-01,1/6/2018 22:07,6,28,599,49,600,40,NC,N,C,-64.88761,-64.55461,22,10,1.4119,33.6537,26.9357,72.0051,8.37,NaN,31.272,0.94,0.353865404,0.089155292,5,0.074354434,0.084936735,0,0,NaN,0.03185729,0.038477602,1.049123144,0,0,0.150706121,0,0,0,0,0.018791149,0,NaN,0.028620577,NaN,0.373403073,1.704788335,NaN,0,0,0,0.026520722,0.009171656,0.152888671,0.811418951,0,50,3.566440993,0.502730863,2000,0.398,204,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.58,54.04,NaN,NaN,NaN,19.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.3,NaN
LMG18-01,1/6/2018 22:07,6,28,599,49,600,40,NC,N,C,-64.88761,-64.55461,20,30,0.3488,33.7466,27.0761,92.6551,7.7659,NaN,2.2705,0.262,0.127342116,0.056030531,5,0.047612649,0.109332366,0,0,NaN,0.009845856,0.021064248,0.709427785,0,0,0.071385405,0,0.123448601,0,0.012866639,0,0,NaN,0.043984834,NaN,0.30697533,0.857588496,NaN,0,0,0,0.073611245,0.011332518,0.092053488,0.823002756,0,25,1.323917703,1.05765368,2400,0.489,222,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.73,55.36,NaN,NaN,NaN,23.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.3,NaN
LMG18-01,1/6/2018 22:07,6,28,599,49,600,40,NC,N,C,-64.88761,-64.55461,18,47,-0.1185,33.8252,27.1637,94.9153,7.5198,NaN,0.53343,-0.0739,0.210033209,0.169891994,5,0.01809853,0.021122428,0,0,NaN,0,0,0.213870784,0,0,0.011973763,0,0,0,0,0,0,NaN,0,NaN,0,0.277802601,NaN,0,0,0,0.003138127,0.022167286,0,0.97296685,0.00172774,1,0.621333138,0.055731953,2400,0.483,239,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.88,58.52,NaN,NaN,NaN,26.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.3,NaN
LMG18-01,1/6/2018 22:07,6,28,599,49,600,40,NC,N,C,-64.88761,-64.55461,16,70,-0.8283,34.0388,27.3678,95.6115,6.802,NaN,0.074187,-0.1387,0.036988841,0.044222802,5,0.004577691,0.013794026,0,0,NaN,0.005616982,0,0.102337597,0,0,0.014495955,0,0,0,0,0,0,NaN,0,NaN,0.015292855,0.142596956,NaN,0,0,0,0.003191742,0.003172534,0.334917873,0.658717811,0,0.1,1.302457755,0.318657218,2400,0.468,312,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,56.12,NaN,NaN,NaN,28.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.3,NaN
LMG18-01,1/6/2018 22:07,6,28,599,49,600,40,NC,N,C,-64.88761,-64.55461,14,90,-0.5273,34.2174,27.4997,96.0816,6.2752,NaN,1.00E-12,-0.1721,0.017586513,0.023077587,5,0.003797439,0.009993658,0,0,NaN,0,0,0.056230086,0,0,0,0,0,0,0,0,0,NaN,0,NaN,0,0.029053107,NaN,0,0,0,0.003138127,0.022167286,0,0.97296685,0.00172774,NaN,NaN,NaN,2400,0.416,294,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.14,60.79,NaN,NaN,NaN,30.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,P1.3,NaN
LMG18-01,1/6/2018 22:07,6,28,599,49,600,40,NC,N,C,-64.88761,-64.55461,11,100,0.0412,34.343,27.5737,96.0621,5.7783,NaN,1.00E-12,-0.1818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.15,61.53,NaN,NaN,NaN,30.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMG18-01,1/6/2018 22:07,6,28,599,49,600,40,NC,N,C,-64.88761,-64.55461,9,135,0.5347,34.4627,27.6426,95.7222,5.2268,NaN,1.00E-12,-0.1944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.16,65.14,NaN,NaN,NaN,30.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMG18-01,1/6/2018 22:07,6,28,599,49,600,40,NC,N,C,-64.88761,-64.55461,7,200,0.7889,34.5359,27.6859,95.7782,4.8118,NaN,1.00E-12,-0.1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.24,60.88,NaN,NaN,NaN,31.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMG18-01,1/6/2018 22:07,6,28,599,49,600,40,NC,N,C,-64.88761,-64.55461,5,300,1.0174,34.5982,27.7213,95.8036,4.4706,NaN,1.00E-12,-0.2025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.23,52.32,NaN,NaN,NaN,31.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LMG18-01,1/6/2018 22:07,6,28,599,49,600,40,NC,N,C,-64.88761,-64.55461,3,400,1.219,34.6453,27.7454,95.9089,4.2242,NaN,1.00E-12,-0.2044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.27,68.65,NaN,NaN,NaN,31.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
